"web-scraper-order","name_ja","company_games","company_description","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
"1522049479-2123",,,,,,,,,
"1522049539-2346","ラス",,,,,"http://lass.jp/","jp","Japan","JP"
"1522049539-2339","LiFox(ライフォックス)",,,,,"http://www.lifox.co.jp/","jp","Japan","JP"
"1522049599-2520","マリーベル",,,,,"http://www.cellworks.co.jp/","jp","Japan","N/A"
"1522049479-2274","(有)六面堂",,,,,"http://www.rokumendo.com/","com",,"JP"
"1522049539-2391","りぷる",,,,,"http://libre-soft.jp/","jp","Japan","JP"
"1522049479-2145",,,,,,,,,
"1522049479-2247","ルネ featuring D",,,,,"http://www.marigold.co.jp/featuring-d/index.html","jp","Japan","JP"
"1522049599-2463",,,,,,,,,
"1522049539-2321",,,,,,,,,
"1522049539-2396","LiLiM",,,,,"http://s-digi.jp/lilim/","jp","Japan","JP"
"1522049539-2300",,,,,,,,,
"1522049539-2429","レッドレーベル",,,,,"http://www.digianime.co.jp/redlabel/","jp","Japan","JP"
"1522049539-2308",,,,,,,,,
"1522049539-2403","rootnuko+H(るーとぬこぷらすえっち)",,,,,"http://rootnuko.jp/","jp","Japan","JP"
"1522049599-2585","桃フェロ",,,,,"http://momofero.masterup.net/","net",,"N/A"
"1522049599-2574","Moviendo(モヴィエンド)",,,,,"http://www.moviendo-soft.com/","com",,"JP"
"1522049599-2506","Mindware",,,,,"http://pinball.co.jp/","jp","Japan","JP"
"1522049479-2166",,,,,,,,,
"1522049599-2548","Mille-feuille(ミルフィーユ)",,,,,"http://www.mille-feuille.jp/","jp","Japan","JP"
"1522049479-2159",,,,,,,,,
"1522049479-2223","リビドー",,,,,"http://www.libido.ne.jp/","jp","Japan","JP"
"1522049539-2366","ランダムハウス",,,,,"http://www.randomhouse.co.jp/","jp","Japan","N/A"
"1522049599-2572","もーにんぐ",,,,,"http://www.morning-net.com/","com",,"JP"
"1522049599-2475",,,,,,,,,
"1522049539-2289",,,,,,,,,
"1522049539-2425","(有)レジスタ[Regista]",,,,,"http://regista.co.jp/","jp","Japan","JP"
"1522049479-2235","ORBIT",,,,,"http://www.orbit-soft.com/","com",,"JP"
"1522049539-2387","(有)リバース・イメージ・クリエイション(R.I.C)",,,,,"http://www.ric-japan.com/","com",,"JP"
"1522049539-2447","Rondo Bell(ロンドベル)",,,,,"http://web-giga.com/rondobell/","com",,"JP"
"1522049479-2275","ロケットカンパニー(株)",,,,,"http://www.rocketcompany.co.jp/","jp","Japan","N/A"
"1522049539-2427","(株)レッド・エンタテインメント",,,,,"http://red-entertainment.co.jp/","jp","Japan","JP"
"1522049539-2325",,,,,,,,,
"1522049539-2418","Rateblack(レイトブラック)",,,,,"http://www.light.gr.jp/","jp","Japan","JP"
"1522049599-2522","マリン",,,,,"http://marigold.1000.tv/marine/","tv","Tuvalu","JP"
"1522049539-2375","(株)リアルアンリアル",,,,,"http://www.real-unreal.info/","info",,"JP"
"1522049539-2343","Luxury(ラグジュアリー)",,,,,"http://luxury.nexton-net.jp/","jp","Japan","JP"
"1522049599-2511","枕",,,,,"http://www.makura-soft.com/","com",,"JP"
"1522049479-2161",,,,,,,,,
"1522049479-2224","riffraff",,,,,"http://riffraff.product.co.jp/","jp","Japan","JP"
"1522049599-2487",,,,,,,,,
"1522049599-2466",,,,,,,,,
"1522049599-2448",,,,,,,,,
"1522049479-2125",,,,,,,,,
"1522049599-2480",,,,,,,,,
"1522049539-2410","ルネ",,,,,"http://www.marigold.co.jp/lune/","jp","Japan","JP"
"1522049539-2352","LOVERSOUL",,,,,"http://www.loversoul.jp/","jp","Japan","US"
"1522049479-2193","Love Juice",,,,,"http://www.love-juice.jp/","jp","Japan","JP"
"1522049539-2334",,,,,,,,,
"1522049539-2331",,,,,,,,,
"1522049479-2230","LiLiM",,,,,"http://s-digi.jp/lilim/","jp","Japan","JP"
"1522049479-2181","Lusterise（らすたらいず）",,,,,"http://www.lusterise.com/","com",,"JP"
"1522049539-2345","La’cryma(ラクリマ)",,,,,"http://lacryma.info/","info",,"JP"
"1522049479-2234","rouge(ルージュ)",,,,,"http://www.will-japan.co.jp/rouge/","jp","Japan","JP"
"1522049539-2394","リリス",,,,,"http://www.lilith-soft.com/","com",,"JP"
"1522049539-2407","Lucha Libre(ルチャリブレ)",,,,,"http://www.luchalibre-game.com/","com",,"JP"
"1522049479-2176","Lilac Soft",,,,,"http://aoiumiyori.jp/","jp","Japan","US"
"1522049539-2440","(有)六面堂",,,,,"http://www.rokumendo.com/","com",,"JP"
"1522049479-2177","Luxury(ラグジュアリー)",,,,,"http://luxury.nexton-net.jp/","jp","Japan","JP"
"1522049539-2313",,,,,,,,,
"1522049539-2439","(株)ログ",,,,,"http://www.log.co.jp/","jp","Japan","JP"
"1522049479-2225","りぷる",,,,,"http://libre-soft.jp/","jp","Japan","JP"
"1522049479-2238","(株)ルーン",,,,,"http://www.rune.jp/","jp","Japan","JP"
"1522049539-2332",,,,,,,,,
"1522049599-2472",,,,,,,,,
"1522049599-2530","ミストウォーカー",,,,,"http://www.mistwalkercorp.com/","com",,"JP"
"1522049599-2502","マイクロビジョン",,,,,"http://www.microvision.co.jp/","jp","Japan","JP"
"1522049539-2298",,,,,,,,,
"1522049479-2272","(有)ロータス",,,,,"http://www.lotus-inc.jp/","jp","Japan","DE"
"1522049599-2462",,,,,,,,,
"1522049479-2233","RINGER BELL",,,,,"http://www.rits.co.jp/rb/","jp","Japan","JP"
"1522049539-2377","Rio",,,,,"http://rio.product.co.jp/","jp","Japan","JP"
"1522049479-2146",,,,,,,,,
"1522049479-2171","(株)ライノスタジオ",,,,,"http://www.rhino-studios.co.jp/","jp","Japan","IE"
"1522049539-2287",,,,,,,,,
