"web-scraper-order","name_ja","company_games","company_description","address","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
,"グランブルー"," (W98)　悦楽の終日",,"〒001-0029　札幌市北区北29条西6-2-15　　011(746)6345","[]","[]","http://www.bekkoame.ne.jp/ro/grandblue/","jp","Japan","JP"
,"クリアブルーコミュニケーションズ"," (W98)　奏　～カナデ～<br>",,"〒171-0021　東京都豊島区西池袋2-36-11　ソフトタウンニュー池袋1103号<br><br>","[]","[]","http://www.digicomiket.com/","com",,"JP"
,"<a href=""http://web.archive.org/web/20070224030339/http://www.light.gr.jp/"">グリーンウッド</a>"," (W98)　Ｗｈｉｔｅ　Ａｎｇｅｌ",,"〒181-0014　東京都三鷹市野崎1-4-25　ＡＮＮＥＸ．Ｙ１０１　　0422(40)6820","[]","[]","http://www.light.gr.jp/","jp","Japan","JP"
,"<a href=""http://web.archive.org/web/20070224030339/http://www.mina.com/"">クリエイティブオフィス ＭＩＮＡ</a>"," (PS.W98)",,"〒180-0004　東京都吉祥寺東町1-19-3　メゾン・デ・フルール１０１　　0422(20)6455","[]","[]","http://www.mina.com/","com",,"US"
,"クルマレテル"," (W98)　チューして...",,"〒530-0044　大阪市北区東天満2-1-27　東天満パークビル８Ｆ　　06(6355)2001","[]","[]","http://kur-mar-ter.product.co.jp/","jp","Japan","JP"
,"クレスト"," (W98)　Alpha Strike",,"〒154-0004　東京都世田谷区太子堂1-15-6　橋本ビル　　03(3418)5993","[]","[]","http://www.crest-cs.co.jp/","jp","Japan","JP"
,"クレスト・ワークス"," (PS.PS2.GC.GBA.XB)　",,"〒170－0073　東京都豊島区東池袋3-10-6　加藤第6ビル　3階","[]","[]","http://www.crest-w.jp/","jp","Japan","N/A"
,"クレフ　インベンション"," (PS.W98.ETC)　ＣＡＬＣＯＬＯ！　～カルコロ！おちものシューティング～",,"〒812-0013　福岡市博多区博多駅東2-14-1　スフィンクスセンター７Ｆ　　092(412)0902","[]","[]","http://www.clef.co.jp/","jp","Japan","JP"
,"クローバー"," (W98)　ぷにぷにはんどメイド",,"〒166-0012　東京都杉並区和田1-11-4","[]","[]","http://www.clover.gr.jp/","jp","Japan","N/A"
,"Ｃｒｏｎｕｓ"," (PS.PS2.DC.GBA.XBOX)　Innocent Tears<br> 東京都武蔵野市吉祥寺東町1丁目11番20号　鴨下ビル3F　0422(23)8720 (W98)　ＤＥＥＰ　ＶＯＩＣＥ<br> (W98)　Nursery Song<br>",,"〒151-0051　東京都渋谷区千駄ケ谷5-26-5　代々木シティホームズ1103号室<br><br>","[]","[]","http://www.agree.co.jp/cherrysoft/cronus/","jp","Japan","N/A"
